debugW0W98S:debug05RUW1,initialized,0,,1604951893704
debugW0W98S:debug05RUW1,window_resize,0,"[1024, 768]",1604951893704
debugW0W98S:debug05RUW1,focus,63,on,1604951893767
debugOCOHJ1:debugLIV0J8,initialized,0,,1604952339200
debugOCOHJ1:debugLIV0J8,window_resize,0,"[1024, 768]",1604952339200
debugOCOHJ1:debugLIV0J8,focus,60,on,1604952339260
debug4PA0B8:debugH20M5S,initialized,0,,1604954706593
debug4PA0B8:debugH20M5S,window_resize,1,"[1024, 768]",1604954706594
debug4PA0B8:debugH20M5S,focus,68,on,1604954706662
debugMCVTUR:debugQ10MS7,initialized,0,,1604955120350
debugMCVTUR:debugQ10MS7,window_resize,0,"[1024, 768]",1604955120350
debugMCVTUR:debugQ10MS7,focus,63,on,1604955120413
debugSPF9AW:debugJC30IE,initialized,0,,1604974825388
debugSPF9AW:debugJC30IE,window_resize,0,"[1024, 768]",1604974825388
debugSPF9AW:debugJC30IE,focus,67,on,1604974825455
debugRNENV5:debug8SY7ZZ,initialized,0,,1604974886641
debugRNENV5:debug8SY7ZZ,window_resize,0,"[1024, 768]",1604974886641
debugRNENV5:debug8SY7ZZ,focus,59,on,1604974886700
debug67CDN9:debugMRZH7M,initialized,0,,1604974950483
debug67CDN9:debugMRZH7M,window_resize,0,"[1024, 768]",1604974950483
debug67CDN9:debugMRZH7M,focus,73,on,1604974950556
debug5U0FQ1:debugD0TDX2,initialized,0,,1604975478107
debug5U0FQ1:debugD0TDX2,window_resize,0,"[1024, 768]",1604975478107
debug5U0FQ1:debugD0TDX2,focus,75,on,1604975478182
debugO2QXRL:debugZM694U,initialized,0,,1604975685068
debugO2QXRL:debugZM694U,window_resize,0,"[1024, 768]",1604975685068
debugO2QXRL:debugZM694U,focus,75,on,1604975685143
debug1XA59Y:debugFJUZS1,initialized,0,,1604976072531
debug1XA59Y:debugFJUZS1,window_resize,0,"[1024, 768]",1604976072531
debug1XA59Y:debugFJUZS1,focus,68,on,1604976072599
debug446B01:debugB8THC5,initialized,0,,1604976186692
debug446B01:debugB8THC5,window_resize,0,"[1024, 768]",1604976186692
debug446B01:debugB8THC5,focus,60,on,1604976186752
debugRWY8KC:debugY75O53,initialized,0,,1604976886690
debugRWY8KC:debugY75O53,window_resize,0,"[1024, 768]",1604976886690
debugRWY8KC:debugY75O53,focus,49,on,1604976886739
debug63Z6Y3:debugDEMHV5,initialized,0,,1604977057451
debug63Z6Y3:debugDEMHV5,window_resize,0,"[1024, 768]",1604977057451
debug63Z6Y3:debugDEMHV5,focus,71,on,1604977057522
debugTPVO1D:debugZJZ8IY,initialized,0,,1604977343492
debugTPVO1D:debugZJZ8IY,window_resize,0,"[1024, 768]",1604977343492
debugTPVO1D:debugZJZ8IY,focus,74,on,1604977343566
debugTPVO1D:debugZJZ8IY,focus,25074,off,1604977368640
debugTPVO1D:debugZJZ8IY,focus,1048,on,1604977369688
debugTPVO1D:debugZJZ8IY,window_resize,123,"[1130, 940]",1604977369811
debugKJU1U6:debugOFJ2P6,initialized,0,,1604977759663
debugKJU1U6:debugOFJ2P6,window_resize,0,"[1024, 768]",1604977759663
debugKJU1U6:debugOFJ2P6,focus,60,on,1604977759723
debugP24JWQ:debugSKPOZV,initialized,0,,1604978043402
debugP24JWQ:debugSKPOZV,window_resize,0,"[1024, 768]",1604978043402
debugP24JWQ:debugSKPOZV,focus,67,on,1604978043469
debugP24JWQ:debugSKPOZV,focus,45048,off,1604978088517
debugP24JWQ:debugSKPOZV,focus,5696,on,1604978094213
debugI43EOV:debug518A1H,initialized,0,,1604978243473
debugI43EOV:debug518A1H,window_resize,0,"[1024, 768]",1604978243473
debugI43EOV:debug518A1H,focus,60,on,1604978243533
debug8A216J:debugSWPROJ,initialized,0,,1604978824538
debug8A216J:debugSWPROJ,window_resize,0,"[1024, 768]",1604978824538
debug8A216J:debugSWPROJ,focus,71,on,1604978824609
debugM903JE:debugJNJ477,initialized,0,,1604978975772
debugM903JE:debugJNJ477,window_resize,1,"[1024, 768]",1604978975773
debugM903JE:debugJNJ477,focus,68,on,1604978975841
debugUFE3HL:debugVZ8HB5,initialized,0,,1604979220074
debugUFE3HL:debugVZ8HB5,window_resize,0,"[1024, 768]",1604979220074
debugUFE3HL:debugVZ8HB5,focus,71,on,1604979220145
debug8SD5VD:debugXXB252,initialized,0,,1604979409431
debug8SD5VD:debugXXB252,window_resize,0,"[1024, 768]",1604979409431
debug8SD5VD:debugXXB252,focus,58,on,1604979409489
debugNKD512:debug3OVAK6,initialized,0,,1604979580446
debugNKD512:debug3OVAK6,window_resize,0,"[1024, 768]",1604979580446
debugNKD512:debug3OVAK6,focus,67,on,1604979580513
debugORYPTF:debugZQ3MJQ,initialized,0,,1604979708039
debugORYPTF:debugZQ3MJQ,window_resize,0,"[1024, 768]",1604979708039
debugORYPTF:debugZQ3MJQ,focus,63,on,1604979708102
debug59QRZ5:debugMF1TYO,initialized,0,,1604979852205
debug59QRZ5:debugMF1TYO,window_resize,0,"[1024, 768]",1604979852205
debug59QRZ5:debugMF1TYO,focus,70,on,1604979852275
debugA4QKJI:debugQEY72W,initialized,0,,1604979957138
debugA4QKJI:debugQEY72W,window_resize,0,"[1024, 768]",1604979957138
debugA4QKJI:debugQEY72W,focus,68,on,1604979957206
debug4ZBGBP:debug1SH5D7,initialized,0,,1604980048513
debug4ZBGBP:debug1SH5D7,window_resize,0,"[1024, 768]",1604980048513
debug4ZBGBP:debug1SH5D7,focus,61,on,1604980048574
debug4ZBGBP:debug1SH5D7,focus,11091,on,1604980059665
debugTCZJN2:debug5HY7SM,initialized,0,,1604980259815
debugTCZJN2:debug5HY7SM,window_resize,1,"[1024, 768]",1604980259816
debugTCZJN2:debug5HY7SM,focus,69,on,1604980259885
debugTCZJN2:debug5HY7SM,focus,2553,off,1604980262438
debugTCZJN2:debug5HY7SM,window_resize,214,"[1024, 730]",1604980262652
debugTCZJN2:debug5HY7SM,focus,658,on,1604980263310
debugTCZJN2:debug5HY7SM,window_resize,2584,"[1024, 768]",1604980265894
debug9GUM8C:debugBT0SCZ,initialized,0,,1604980445326
debug9GUM8C:debugBT0SCZ,window_resize,0,"[1024, 768]",1604980445326
debug9GUM8C:debugBT0SCZ,focus,66,on,1604980445392
debug37T227:debug24O3B4,initialized,0,,1604980756927
debug37T227:debug24O3B4,window_resize,0,"[1024, 768]",1604980756927
debug37T227:debug24O3B4,focus,64,on,1604980756991
debug1USQVF:debugLLC43C,initialized,0,,1604980977882
debug1USQVF:debugLLC43C,window_resize,1,"[1024, 768]",1604980977883
debug1USQVF:debugLLC43C,focus,80,on,1604980977963
debugMNRLD5:debugVWX9NE,initialized,0,,1604981132185
debugMNRLD5:debugVWX9NE,window_resize,0,"[1024, 768]",1604981132185
debugMNRLD5:debugVWX9NE,focus,75,on,1604981132260
debugINVXOM:debugXJSYC3,initialized,0,,1604981343813
debugINVXOM:debugXJSYC3,window_resize,0,"[1024, 768]",1604981343813
debugINVXOM:debugXJSYC3,focus,69,on,1604981343882
debugKEVYZ5:debug2MW3XU,initialized,0,,1604981649868
debugKEVYZ5:debug2MW3XU,window_resize,0,"[1024, 768]",1604981649868
debugKEVYZ5:debug2MW3XU,focus,82,on,1604981649950
debugVYZQQD:debugDICQKP,initialized,0,,1606240336915
debugVYZQQD:debugDICQKP,window_resize,0,"[1024, 768]",1606240336915
debugVYZQQD:debugDICQKP,focus,54,on,1606240336969
